שורשים,,עבר,הווה,עתיד,שם הפועל,שם פעולה,ציווי,,שם עצם,,שם תואר
,פעל שלם,,,,,,,,,,
,פעל ל-ה,,,,,,,,,,
,"פעל ע""ו",,,,,,,,,,
,"פעל חפ""נ",,,,,,,,,,
,"פעל פ""י",,,,,,,,,,
,פיעל שלם,,,,,,,,,,
,פיעל ל-ה,,,,,,,,,,
,הפעיל שלם,,,,,,,,,,
,הפעיל ל-ה,,,,,,,,,,
,"הפעיל ע""ו",,,,,,,,,,
,"הפעיל פ""י",,,,,,,,,,
,התפעל שלם,,,,,,,,,,
,נפעל שלם,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,